Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/22/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Children out of school (% of primary school age),SE.PRM.UNER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.714779973,1.602679968,0.32258001,1.81633997,3.321559906,2.176520109,1.640769958,0.969179988,0.812430024,0.469060004,3.341730118,0.909619987,,,,0.077909999,,,,,,,
Africa Eastern and Southern,AFE,Children out of school (% of primary school age),SE.PRM.UNER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Children out of school (% of primary school age),SE.PRM.UNER.ZS,,,,,,,,,,,,,,,73.17778778,,,,,,,,,,,,,,,,,,,73.23400116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Children out of school (% of primary school age),SE.PRM.UNER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Children out of school (% of primary school age),SE.PRM.UNER.ZS,,,,,,,,,,,,,,,,,,,,,,,54.80138016,57.4607811,,,,,,,,,,,,,,,54.65330887,,,,,,,,,,17.55308914,18.74069977,18.09081078,18.40073013,,,,,,,,,,
Albania,ALB,Children out of school (% of primary school age),SE.PRM.UNER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.206459999,4.616650105,6.134490013,,8.301289558,9.07654953,,,,11.10173035,12.94225025,12.36398983,10.97243977,7.779250145,4.581029892,2.407959938,2.201270103,2.344579935,2.221590042,2.557790041,2.106889963,3.841929913,7.804900169
Andorra,AND,Children out of school (% of primary school age),SE.PRM.UNER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Children out of school (% of primary school age),SE.PRM.UNER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Children out of school (% of primary school age),SE.PRM.UNER.ZS,,,,,,,,,,,,,,,,,,,20.31501007,,23.84770966,26.79743004,21.76300049,26.33728981,26.51528931,26.8782692,26.13274956,15.14980984,11.75718975,6.998939991,3.093199968,2.571860075,6.011889935,9.566619873,11.58454037,11.10966015,13.94532013,17.54714966,17.00931931,,,,,,,,,5.52489996,,,,,6.018020153,6.708789825,2.347579956,0.107929997,0.59811002,1.256880045,,0.217810005,0.236279994,
Argentina,ARG,Children out of school (% of primary school age),SE.PRM.UNER.ZS,,,,,,,,,,,4.872650146,,,,3.377470016,3.672250032,,,,,,,,,,,,4.542449951,,,,3.824100018,,,,,,0,0.265700012,0.165470004,0.431639999,0.365260005,0.328449994,0.337709993,0.639660001,0.441430002,0.266629994,0.128319994,0.182769999,0.207190007,0.603730023,0.565900028,0.571759999,0.408089995,0.09804,0.056299999,0.452389985,0.432689995,0.403450012,0.422470003,0.194769993,
