Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/22/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20753.52765,22429.28944,23484.26826,25024.82762,26786.14595,27192.7075,27183.85273,28718.55742,28743.50906,28656.0962,30746.65275,32184.2193,31988.30307,32657.89238,35653.53767,36264.43537,37365.05519,39080.46601,40059.85715,35169.78535,34230.32509,35780.24974,34786.59399,36932.18416,36846.84829,37343.91296,37583.84032,38865.1882,41679.23819,42501.64155,34971.00991,42698.35987
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814.92051,1827.63935,1787.394578,1779.728634,1805.361749,1876.305894,1962.979887,2030.992463,2040.619499,2075.029321,2140.583511,2212.020487,2275.481859,2335.426651,2468.079131,2633.787663,2819.849773,3007.509285,3118.272785,3077.116245,3187.363894,3292.754584,3208.016619,3333.520911,3470.550675,3498.125396,3591.099809,3635.564622,3724.868177,3777.972368,3621.058106,3839.470058
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.116265,970.6451147,971.8110235,1075.671373,1120.893128,1287.0644,1336.210339,1575.316779,1771.197985,1749.936995,1958.447627,2062.059176,2110.829568,2128.125938,2023.834656,2096.093111,2109.929296,2167.704111,2076.13838,1665.805842
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.283417,1783.598472,1821.207775,1797.301525,1787.314994,1815.277332,1884.601097,1948.109648,1986.867426,1993.172429,2055.2695,2150.71903,2323.226228,2431.138174,2619.254485,2779.586905,2935.517732,3089.765897,3254.357556,3377.506219,3551.092302,3698.517344,3801.052234,3950.948889,4143.177054,4075.994459,3998.951876,4045.303263,4160.540965,4264.731035,4174.504565,4409.450961
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3268.782236,3301.177714,3077.654047,2320.448118,2326.139808,2642.769781,2955.576645,3119.45486,3196.014015,3206.609811,3271.552614,3373.300012,3766.313572,3822.745769,4205.127552,4814.477037,5340.927833,6030.235148,6586.124018,6442.924254,6586.596514,6700.1141,7389.31496,7643.921944,8123.048065,7274.090475,7027.146634,7216.061373,7042.923829,6881.076241,6362.636076,6491.125578
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2549.725468,1909.303185,1823.488353,2057.674832,2290.124756,2666.059645,2980.393935,2717.661963,3021.053924,3471.675624,3860.819889,4299.546493,4661.402695,5000.049363,5427.722786,5865.291354,6566.572828,7283.303989,8228.290733,8812.984438,9627.765729,10203.12005,10521.04271,10574.09366,11260.99806,11659.06252,12082.74249,12773.2684,13495.54182,13973.04584,13759.54243,15709.25126
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6661.007316,7251.033871,7597.579836,7790.572844,7968.830882,8151.565994,8474.864706,8795.463791,9174.690745,9279.946172,9900.005691,10061.20971,10027.4815,10423.26433,11438.24383,12152.89115,12920.89632,13487.29981,14134.83451,13918.07138,14397.97141,14911.38062,15849.10014,15786.57608,15565.99215,14055.95326,13594.67648,14052.54691,14463.36425,14634.45595,13914.58349,14793.88131
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83843.22468,82712.81391,82972.00615,81868.51165,85325.00584,88932.30078,90644.59112,93461.25054,89110.14439,87692.02493,94015.70919,92431.19149,91407.18412,96633.02264,103821.8314,104732.0537,103625.976,91608.32222,80959.46072,67508.58601,65411.94004,70619.31585,74853.5751,75877.99796,78859.08912,69705.70486,68853.81977,71182.37071,73259.90487,74811.69022,71374.18105,76609.198
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7183.583826,7990.188004,8699.39508,9506.505431,10138.68165,9925.129895,10531.84582,11444.47406,11880.48063,11506.69888,11542.986,11159.32992,9990.720222,10974.32417,12162.33747,13513.67029,14896.73354,16510.44824,17336.93282,16249.73013,18063.91434,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23597.11775,23290.67574,23003.27718,20763.28855,23649.6703
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756.573324,2473.873548,1490.351937,1438.588508,1587.042988,1758.673557,1909.642681,2023.94715,2217.057854,2347.5021,2572.42082,2915.455786,3382.060324,3958.329986,4518.262746,5339.901702,6274.028207,7380.23154,8097.305007,7045.330725,7331.386504,7881.771735,9267.397006,9822.947441,10114.93984,10132.31898,10966.85333,12509.63961,13547.5314,14921.81932,14089.23938,15592.48736
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11436.01697,12021.99725,12241.23488,12957.56785,13857.29538,13268.75967,14115.16624,14842.26025,15426.14172,15949.04344,17037.38088,16375.81339,16588.60751,17741.65867,19057.16949,20684.03186,23727.11921,26274.2614,26377.15575,23015.87444,21175.38331,20939.33127,20208.93929,19437.61697,19748.62538,19674.5633,20790.41917,20777.87403,22612.88181,24007.86848,19276.56881,21010.00357
Australia,AUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17373.04899,17827.03076,18234.53818,19195.23149,20150.08215,21014.39563,22125.26427,23105.05425,24360.82064,25468.21831,26532.56436,27656.70529,29016.67834,30078.30319,31722.47511,33018.16322,34800.91806,36620.03532,37517.85385,40307.22955,39371.6567,42018.11794,42847.29675,45907.75468,46882.18557,46251.40868,47249.43482,48400.24579,50192.95733,51810.77671,53358.20808,56281.37865
