Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/22/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.82824025,12.78490961,12.51515152,14.80036025,15.42699725,16.65782493,16.67473379,17.38329238,19.30594336,19.77254589,20.22630835,21.44420131,22.38086051,22.64224474,25.24621212,25.02227767,25.91505525,25.74690771,28.14971007,28.98916968,28.70592263,28.77157013,29.27456382,30.1284473,30.47478837
Afghanistan,AFG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.30923695,27.30923695,27.68595041,27.68595041,27.30923695,27.71084337,27.71084337,27.71084337,27.71084337,27.71084337,27.71084337,27.71084337,27.71084337,,27.86885246,27.01612903,27.01612903
Africa Western and Central,AFW,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.815144766,7.395873881,7.943067034,8.956960062,10.0685673,10.70786921,11.18443904,12.30982019,11.20317003,11.14316625,11.20300752,11.85908615,13.64323507,14.70588235,15.61415684,15.08491508,14.84375,15.27910686,15.31847134,15.39877301,16.34527089,17.82437746
Angola,AGO,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.545454545,15.45454545,15.45454545,15.45454545,15.45454545,15.45454545,15.45454545,15,15,15,15,37.27272727,38.63636364,38.63636364,38.18181818,34.09090909,34.09090909,36.81818182,36.81818182,36.81818182,30.45454545,30.45454545,30,30,29.54545455
Albania,ALB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.161290323,5.161290323,5.714285714,5.714285714,5.714285714,6.428571429,7.142857143,7.142857143,7.142857143,7.142857143,16.42857143,16.42857143,15.71428571,15.71428571,17.85714286,20,20.71428571,22.85714286,27.85714286,27.85714286,29.50819672,29.50819672,35.71428571
Andorra,AND,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.142857143,7.142857143,7.142857143,7.142857143,14.28571429,14.28571429,14.28571429,14.28571429,28.57142857,28.57142857,28.57142857,25,35.71428571,35.71428571,50,50,50,50,39.28571429,32.14285714,32.14285714,32.14285714,46.42857143,46.42857143,46.42857143
Arab World,ARB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.747161241,3.457446809,3.616775683,3.770681031,4.621264767,6.130931763,6.048109966,6.693043192,7.036766496,9.349593496,9.75376524,9.801577815,9.902309059,11.91967178,11.32850242,14.87204249,17.3693086,17.79340184,18.77984085,19.27561399,18.88402121,19.06077348,17.56653992,19.54695851,18.22454308
United Arab Emirates,ARE,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,22.5,22.5,22.5,22.5,17.5,17.5,17.5,17.5,22.5,22.5,22.5,22.5,50,50,50
Argentina,ARG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.62645914,27.62645914,,26.45914397,,30.73929961,30.73929961,33.7254902,36.18677043,35.01945525,40,40,38.52140078,38.52140078,37.3540856,37.3540856,36.57587549,36.57587549,,35.79766537,38.13229572,38.91050584,40.15748031,40.85603113,44.74708171
Armenia,ARM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.315789474,6.315789474,3.053435115,3.053435115,3.053435115,3.053435115,4.580152672,5.34351145,5.34351145,5.34351145,9.160305344,8.396946565,9.160305344,9.160305344,8.396946565,10.6870229,10.6870229,10.6870229,10.6870229,10.6870229,18.0952381,18.0952381,23.48484848,23.48484848,33.64485981
American Samoa,ASM,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.263157895,5.263157895,,5.263157895,5.263157895,5.263157895,5.263157895,10.52631579,10.52631579,10.52631579,10.52631579,10.52631579,10.52631579,10.52631579,10.52631579,10.52631579,10.52631579,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111
Australia,AUS,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.54054054,15.54054054,22.44897959,22.97297297,,25.33333333,25.33333333,24.66666667,24.66666667,24.66666667,26.66666667,26.66666667,27.33333333,24.66666667,24.66666667,24.66666667,26,26,26.66666667,28.66666667,28.66666667,28.66666667,30.46357616,30.46357616,31.12582781
