Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/22/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.948316644,7.929353412,7.900608047,7.8769532,7.858588402,7.84465832,7.856504626,7.813172021,7.787823939,7.722410216,7.733897018,7.96818023,7.797050562,7.313768568,7.120963695,6.997437572,6.74944804,6.281452844,6.338602837,6.887993673,6.759454705,6.564948084,6.447229947,6.406938343,6.505244649,6.613772103,6.687951604,6.695958464,6.873493294,7.517252965,8.052103053
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.64900017,10.8210001,10.72299957,10.72599983,11.1789999,10.96199989,10.78299999,10.80200005,10.80900002,10.80599976,10.80900002,11.25699997,11.14099979,10.98799992,11.21700001,11.09899998,11.30099964,11.09300041,11.31099987,11.35200024,11.0539999,11.3409996,11.19299984,11.1420002,11.12699986,11.15799999,11.18000031,11.15200043,11.21700001,11.71000004,13.28299999
Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.393477315,4.505421706,4.523591574,4.520900497,4.508319652,4.547244568,4.582311231,4.643163697,4.848770782,4.915014438,4.863943379,4.782300039,4.754482885,4.738781878,4.73804399,4.659210906,4.641534485,4.61036582,4.594065822,4.566056877,4.558777206,4.647270679,4.420557741,4.69796084,4.639028669,5.57622119,6.025603932,6.047231535,6.069210454,6.780010667,6.843381148
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.208000183,4.208000183,4.230999947,4.162000179,4.113999844,4.097000122,4.087999821,4.072000027,4.054999828,4.03000021,4.004000187,3.960999966,3.957999945,3.915999889,3.881999969,3.85800004,3.821000099,3.792999983,3.779999971,9.430000305,7.360000134,7.347000122,7.366000175,7.372000217,7.392000198,7.412000179,7.407999992,7.421000004,7.421000004,8.333000183,8.529999733
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.30700016,30.01499939,25.25799942,20.84000015,14.61100006,13.93099976,16.87599945,20.04700089,20.84000015,19.02799988,18.57500076,17.89500046,16.98900032,16.30999947,15.97000027,15.63000011,15.97000027,13.06000042,13.67000008,14.09000015,13.47999954,13.38000011,15.86999989,18.04999924,17.19000053,15.42000008,13.61999989,12.30000019,11.47000027,13.32900047,11.81900024
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.58958348,11.88423532,12.60395257,12.68600076,13.16991298,12.23561331,11.80812292,11.82697051,11.9603018,12.4506152,12.34190295,12.36207262,12.3150507,11.31143508,11.17857116,10.42087481,10.00503842,9.705495357,9.314265235,9.393811626,10.48426227,10.66803683,10.75489444,10.90784255,11.00665343,10.79884996,10.93431718,10.52250656,10.01031527,11.52023502,11.69074485
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.866000056,1.842000008,1.848999977,1.805999994,1.799999952,1.899999976,1.980000019,2.137000084,2.21600008,2.25,2.493000031,2.648000002,2.750999928,2.907000065,3.119999886,2.937000036,2.871999979,2.736999989,2.678999901,2.480999947,2.302000046,2.184999943,2.04399991,1.911000013,1.768000007,1.639999986,2.460000038,2.351999998,2.230000019,3.187999964,3.35800004
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.440000057,6.360000134,10.10000038,11.76000023,18.79999924,17.11000061,14.81999969,12.64999962,14.05000019,15,17.31999969,19.59000015,15.35999966,13.52000046,11.51000023,10.07999992,8.470000267,7.840000153,8.649999619,7.710000038,7.179999828,7.21999979,7.099999905,7.269999981,7.520999908,8.111000061,8.350000381,9.220000267,9.840000153,11.46000004,10.90200043
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.600000024,1.799999952,5.300000191,6.599999905,6.699999809,9.300000191,10.80000019,9.399999619,11.19999981,11.04800034,10.9119997,10.77600002,10.59399986,10.34399986,10.20300007,9.996999741,9.81000042,14.39299965,18.44000053,19.01000023,18.44000053,17.29999924,16.18000031,17.5,18.26000023,17.62000084,17.70000076,18.96999931,18.29999924,21.20599937,20.89699936
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.579999924,10.72999954,10.86999989,9.720000267,8.470000267,8.510000229,8.359999657,7.679999828,6.869999886,6.28000021,6.739999771,6.369999886,5.929999828,5.389999866,5.03000021,4.78000021,4.380000114,4.230000019,5.559999943,5.210000038,5.079999924,5.21999979,5.659999847,6.079999924,6.050000191,5.710000038,5.590000153,5.300000191,5.159999847,6.460000038,5.111999989
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.420000076,3.589999914,4.25,3.539999962,4.349999905,5.28000021,5.150000095,5.519999981,4.699999809,4.690000057,4.010000229,4.849999905,4.78000021,5.829999924,5.630000114,5.239999771,4.860000134,4.130000114,5.300000191,4.820000172,4.559999943,4.869999886,5.329999924,5.619999886,5.71999979,6.010000229,5.5,4.849999905,4.489999771,5.360000134,6.301000118
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.899999976,1.799999952,4.5,6.300000191,7.199999809,8.100000381,9.100000381,10,10.89999962,11.77999973,10.90999985,10.03999996,9.170000076,7.989999771,7.260000229,6.619999886,6.329999924,5.860000134,5.739999771,5.630000114,5.420000076,5.190000057,4.96999979,4.909999847,4.960000038,5,5,4.900000095,4.849999905,6.462999821,6.583000183
Burundi,BDI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.511999965,1.531000018,1.562000036,1.559999943,1.58099997,1.588000059,1.572000027,1.557000041,1.583999991,1.590000033,1.587000012,1.585999966,1.613000035,1.598999977,1.620000005,1.611999989,1.626999974,1.629999995,1.623000026,1.60800004,1.601999998,1.590000033,1.577999949,1.570000052,1.600000024,1.590000033,1.588999987,1.587000012,1.588999987,1.707000017,1.792000055
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.989999771,6.699999809,8.079999924,9.649999619,9.340000153,9.479999542,8.960000038,9.319999695,8.649999619,6.590000153,6.179999828,6.909999847,7.679999828,7.360000134,8.43999958,8.25,7.460000038,6.980000019,7.909999847,8.289999962,7.139999866,7.539999962,8.430000305,8.520000458,8.479999542,7.829999924,7.090000153,5.949999809,5.360000134,5.550000191,6.420000076
Benin,BEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.485000014,1.50999999,1.412999988,1.356999993,1.253999949,1.182999969,1.095999956,1.023000002,0.935000002,0.851000011,0.771000028,0.689999998,0.735000014,0.773999989,0.824999988,0.860000014,0.894999981,0.941999972,0.995000005,1.039999962,2.650000095,2.470999956,2.286999941,2.132999897,2.006999969,1.827999949,1.644000053,1.470000029,1.470000029,1.583999991,1.574000001
Burkina Faso,BFA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.575000048,2.611000061,2.58100009,2.579999924,2.528000116,2.470999956,2.470000029,2.440000057,2.506999969,2.605000019,2.648000002,2.730000019,2.779999971,3.414999962,4,3.654999971,3.299999952,3.413000107,3.559000015,3.644999981,3.785000086,3.913000107,4.046999931,4.188000202,4.321000099,4.434000015,4.563000202,4.690000057,4.69299984,4.894999981,4.757999897
